Metronidazole_drugsCom	Metronidazole_MedEffect	Metronidazole_OpenFDA	Metronidazole_Twitter	sideefects	known_sideeffect_medlineplus_drugs_com_webmd
0.11025968497232863	0.006273062730627306	0.015288530349359182	0.0406860789788592	, pain sense,painful,sense of pain,pain,paining,pains	nan_burning, numbness, tingling, or painful sensations in the hands or feet_nan
0.11025968497232863	0.006273062730627306	0.014836997209555568	0.0406860789788592	, pain, Pain	nan_burning, numbness, tingling, or painful sensations in the hands or feet_nan
0.015611061552185546	0.002091652405400266	0.008873830267828332	0.004659042778483694	, burning sensation,burn sensation,burning,sensation burning,burning sensations	nan_burning, numbness, tingling, or painful sensations in the hands or feet_nan
0.01582516955538809	0.002672843905915895	0.005045344232979946	0.00241196333815726	, back pain, Back pain	nan_back pain_nan
0.004633204633204633	0.0030041306796845663	0.00712063601797442	0.0018752930145335208	, chest pain, Chest pain	nan_chest pain_nan
0.0046189376443418	0.0030041306796845663	0.007308743169398906	0.0018674136321195146	, pains chest,pain chest nos,chest pain nos,thorax pain,pain thorax,chest pains,pain chest,chest pain	numbness, pain, burning, or tingling in your hands or feet_chest pain_numbness, pain, burning, or tingling in your hands or feet
0.025499655410062026	0.0036426380368098157	0.0036148827367307353	0.0016386726751331422	, dry mouth, Dry mouth	dry mouth_nan_dry mouth
0.007042253521126761	0.0007766990291262136	0.0012334801762114538	0.001027221366204417	, congestion nasal,congestion nose,nose blocked,nose congestion,nose block,nose stuffed up,blocked nose,nasal stuffiness,blocked noses,block nose,blocks nose,blocking nose,nasal congestion,stuffy nose,congested nose	stuffy nose, fever, sore throat, or other signs of infection_nasal congestion_stuffy nose, fever, sore throat, or other signs of infection
0.01010886469673406	0.0007786645902277592	0.0048335123523093465	0.001026167265264238	, eye ache,pain eye,ocular pain,ache eye,pain in eye,eyes pain,pain in eyes,eyes pains,eye pains,pain eyes,eye pain in,ache eyes,aches eye,eye pain	numbness, pain, burning, or tingling in your hands or feet_eye pain_numbness, pain, burning, or tingling in your hands or feet
0.003955696202531646	0.0001963093835885356	0.002875038504979977	0.0005197505197505198	, vaginal discharge, Vaginal discharge	nan_vaginal irritation, discharge, or dryness not present before taking the medicine_nan
0.007092198581560284	0.0001963093835885356	0.0028741531513036336	0.0005197505197505198	, vagina discharge,vaginal discharge nos,vaginal discharges,discharge vaginal,fluor vaginalis,discharges vagina,discharge vagina,vaginal discharge	nan_vaginal irritation, discharge, or dryness not present before taking the medicine_nan
0.000792393026941363	0.006155567991046447	0.012384120019814593	0.0005194805194805195	, upper abdominal pain,abdominal pain upper,abdomen pain upper,pain upper abdomen,abdominal pains upper,upper abdomen pain	numbness, pain, burning, or tingling in your hands or feet_nan_numbness, pain, burning, or tingling in your hands or feet
